Time,domination
2025-11-06,49.22330328495035
2025-11-07,43.82896867838044
2025-11-08,47.20042780748663
2025-11-09,53.943346065699004
2025-11-10,43.154676852559206
2025-11-11,49.89759511077158
2025-11-12,47.20042780748663
2025-11-13,45.851844155844155
2025-11-14,47.20042780748663
2025-11-15,43.154676852559206
2025-11-16,51.9204705882353
2025-11-17,48.549011459129105
2025-11-18,51.246178762414054
2025-11-19,49.22330328495035
2025-11-20,53.26905423987777
2025-11-21,49.89759511077158
2025-11-22,50.57188693659282
2025-11-23,48.549011459129105
2025-11-24,53.26905423987777
2025-11-25,43.82896867838044
2025-11-26,41.80609320091673
2025-11-27,36.41175859434683
2025-11-28,47.87471963330787
2025-11-29,41.80609320091673
2025-11-30,51.9204705882353
2025-12-01,49.89759511077158
2025-12-02,44.503260504201684
2025-12-03,47.87471963330787
2025-12-04,57.98909702062643
2025-12-05,47.87471963330787
2025-12-06,53.943346065699004
2025-12-07,47.20042780748663
2025-12-08,49.89759511077158
2025-12-09,43.154676852559206
2025-12-10,55.96622154316272
2025-12-11,56.64051336898396
2025-12-12,53.38143621084797
2025-12-13,53.718582123758594
2025-12-14,48.39916883116883
2025-12-15,54.580177234530176
2025-12-16,48.39916883116883
2025-12-17,57.839254392666156
2025-12-18,56.64051336898396
2025-12-19,49.26076394194041
2025-12-20,47.20042780748663
2025-12-21,51.32110007639419
2025-12-22,41.01941940412529
2025-12-23,44.80294576012223
2025-12-24,42.74260962566845
2025-12-25,40.68227349121467
2025-12-26,51.32110007639419
2025-12-27,54.9173231474408
2025-12-28,50.983954163483574
2025-12-29,51.65824598930482
2025-12-30,55.77891825821237
2025-12-31,52.51984110007639
2026-01-01,48.39916883116883
2026-01-02,55.44177234530176
2026-01-03,48.39916883116883
2026-01-04,59.56244461420932
2026-01-05,48.06202291825821
2026-01-06,53.38143621084797
2026-01-07,58.70084950343774
2026-01-08,52.51984110007639
2026-01-09,56.64051336898395
2026-01-10,61.885005347593584
2026-01-11,56.64051336898395
2026-01-12,54.542716577540105
2026-01-13,56.64051336898395
2026-01-14,54.542716577540105
2026-01-15,52.44491978609626
2026-01-16,49.29822459893048
2026-01-17,58.73831016042781
2026-01-18,53.49381818181818
2026-01-19,60.836106951871656
2026-01-20,50.34712299465241
2026-01-21,60.836106951871656
2026-01-22,61.885005347593584
2026-01-23,58.73831016042781
2026-01-24,58.73831016042781
2026-01-25,67.12949732620321
2026-01-26,69.22729411764706
2026-01-27,50.34712299465241
2026-01-28,50.34712299465241
2026-01-29,52.44491978609626
2026-01-30,70.27619251336898
2026-01-31,69.22729411764706
2026-02-01,89.15636363636364
2026-02-02,72.37398930481284
2026-02-03,79.71627807486631
2026-02-04,76.56958288770053
2026-02-05,71.3250909090909
2026-02-06,72.37398930481284
2026-02-07,63.98280213903743
2026-02-08,66.08059893048129
2026-02-09,55.59161497326203
2026-02-10,75.52068449197861
2026-02-11,60.836106951871656
2026-02-12,68.17839572192513
