Time,underworld
2023-03-19,42.225291750088246
2023-03-20,39.14317477066195
2023-03-21,49.73442368915903
2023-03-22,39.18854253976352
2023-03-23,35.47682390771294
2023-03-24,37.3656288655858
2023-03-25,42.99531744993166
2023-03-26,50.501928957385694
2023-03-27,38.678121296445724
2023-03-28,31.210036386562077
2023-03-29,36.84908657405589
2023-03-30,41.869697020371035
2023-03-31,36.26629293717131
2023-04-01,34.41025359031625
2023-04-02,41.942069413937816
2023-04-03,39.46074915437291
2023-04-04,39.48343303892369
2023-04-05,47.65817279657238
2023-04-06,38.90135952535818
2023-04-07,37.04027931526962
2023-04-08,42.08681420107138
2023-04-09,42.110938332260304
2023-04-10,38.99065481692317
2023-04-11,37.75449545788492
2023-04-12,32.739285936462814
2023-04-13,35.90781771417781
2023-04-14,44.75284609197837
2023-04-15,37.840910256173615
2023-04-16,61.842106127718125
2023-04-17,35.3585098116301
2023-04-18,39.80100742263464
2023-04-19,40.45581339142647
2023-04-20,37.94892875403449
2023-04-21,34.8063214158061
2023-04-22,50.02297926835213
2023-04-23,55.119922786488964
2023-04-24,42.472800300094214
2023-04-25,35.51981743510233
2023-04-26,38.62253025077421
2023-04-27,38.64444257462598
2023-04-28,40.02784626814246
2023-04-29,40.368391503111454
2023-04-30,51.931614109489715
2023-05-01,40.73234074595029
2023-05-02,39.07240563679237
2023-05-03,40.778428638370926
2023-05-04,40.80147258458124
2023-05-05,43.558301119907064
2023-05-06,41.896102766032065
2023-05-07,52.13738934791468
2023-05-08,43.63206232273206
2023-05-09,42.286670852986624
2023-05-10,46.742578343599945
2023-05-11,40.64275848767806
2023-05-12,40.66562240305861
2023-05-13,43.75499766077372
2023-05-14,49.59549190464201
2023-05-15,41.05495599289475
2023-05-16,39.38169860233399
2023-05-17,42.15609300290719
2023-05-18,40.802805895341905
2023-05-19,39.126513699365056
2023-05-20,42.226999431145856
2023-05-21,49.79046529328087
2023-05-22,42.596272442807845
2023-05-23,37.51120051729966
2023-05-24,42.32154133546408
2023-05-25,38.3364386367838
2023-05-26,39.833137994022245
2023-05-27,42.80760775268352
2023-05-28,48.73926431034834
2023-05-29,44.333112042684874
2023-05-30,44.35780198505307
2023-05-31,41.42365913225984
2023-06-01,41.446703078470165
2023-06-02,42.95080941841908
2023-06-03,48.902217929978455
2023-06-04,50.41208525647993
2023-06-05,41.53887886331144
2023-06-06,44.530631581630466
2023-06-07,47.52567629226524
2023-06-08,40.122010319730165
2023-06-09,40.14423126786154
2023-06-10,49.09233048621358
2023-06-11,49.119489422818596
2023-06-12,53.614525483007576
2023-06-13,35.762768942566275
2023-06-14,46.219089491261904
2023-06-15,41.76931832541462
2023-06-16,37.3146091710937
2023-06-17,44.802220947680645
2023-06-18,50.803832342055344
2023-06-19,40.36644074917533
2023-06-20,35.90103261982819
2023-06-21,34.4240852164843
2023-06-22,35.94053652761731
2023-06-23,37.45863383490819
2023-06-24,43.47588219278276
2023-06-25,47.999723185734645
2023-06-26,40.52198738609499
2023-06-27,39.04257098851428
2023-06-28,34.55658790719363
2023-06-29,39.08536688861915
2023-06-30,43.61908385851831
2023-07-01,51.167597492946804
2023-07-02,58.7243411081647
2023-07-03,48.21041069394327
2023-07-04,46.72934830020468
2023-07-05,40.72197591927739
2023-07-06,54.32559582321169
2023-07-07,46.80588712154609
2023-07-08,51.36347103573451
2023-07-09,55.92599293839657
2023-07-10,37.80840801845767
2023-07-11,100.0
2023-07-12,45.419469506885605
2023-07-13,40.89974350432843
2023-07-14,43.953221078567935
2023-07-15,50.042893267389225
2023-07-16,48.55277789478229
2023-07-17,42.50672460414482
2023-07-18,59.237891909423226
2023-07-19,59.269988834501895
2023-07-20,47.13755534735889
2023-07-21,39.556121789772796
2023-07-22,53.277430418995515
2023-07-23,51.78320005599388
2023-07-24,45.71574881530398
2023-07-25,41.166394881904964
2023-07-26,45.76512870004038
2023-07-27,42.737164066248
2023-07-28,48.86880915709523
2023-07-29,51.95109166409764
2023-07-30,50.45027731646449
2023-07-31,44.35895913148533
2023-08-01,45.913268354249574
2023-08-02,39.81289719040207
2023-08-03,53.623089612150295
2023-08-04,39.855693090506946
2023-08-05,46.01202812372237
2023-08-06,44.50216079722088
2023-08-07,38.384506673715634
2023-08-08,39.941284890716695
2023-08-09,38.42565657766263
2023-08-10,44.59762857437791
2023-08-11,53.85352907425348
2023-08-12,53.882334007016375
2023-08-13,61.6127302168906
2023-08-14,57.02222637954458
2023-08-15,47.80089179898449
2023-08-16,46.283617489772546
2023-08-17,58.65718941404494
2023-08-18,61.77732983267859
2023-08-19,67.99127473141981
2023-08-20,61.84316967899379
2023-08-21,41.76636048145219
2023-08-22,44.884031905849014
2023-08-23,40.26225414150328
2023-08-24,37.18490962297451
2023-08-25,37.20466157686907
2023-08-26,41.87746522210908
2023-08-27,69.8328102837341
2023-08-28,60.55386583764822
2023-08-29,48.15807296524442
2023-08-30,40.41203979187035
2023-08-31,43.54370218360915
2023-09-01,37.342925254130975
2023-09-02,40.476233642027665
2023-09-03,43.61283402224011
2023-09-04,46.75272639476832
2023-09-05,37.42193306970921
2023-09-06,32.7614743956533
2023-09-07,34.3396505627068
2023-09-08,34.35775652044348
2023-09-09,40.62601929239474
2023-09-10,39.08405504081459
2023-09-11,39.104629992788084
2023-09-12,34.4301803513902
2023-09-13,39.145779896735085
2023-09-14,36.0330464608119
2023-09-15,34.48449822460024
2023-09-16,37.63920456254937
2023-09-17,42.366326080999414
2023-09-18,32.96886991154617
2023-09-19,40.83999879291912
2023-09-20,44.004581107815525
2023-09-21,42.45520987352492
2023-09-22,39.33095446449657
2023-09-23,48.79589647642289
2023-09-24,47.246525242132286
2023-09-25,39.392679320417066
2023-09-26,37.83672410149495
2023-09-27,42.5885355623132
2023-09-28,42.610756510444574
2023-09-29,44.21197662370839
2023-09-30,37.91573191707319
2023-10-01,53.74193548387097
2023-10-02,55.32760741373523
2023-10-03,52.1707693718915
2023-10-04,45.85120478787457
2023-10-05,44.27415017556564
2023-10-06,44.27817159042479
2023-10-07,55.35274125660492
2023-10-08,50.61281648016353
2023-10-09,45.87202997196661
2023-10-10,41.13038173201416
2023-10-11,42.71619728383767
2023-10-12,42.720075076737565
2023-10-13,44.30632149443885
2023-10-14,50.640391896340574
2023-10-15,53.810299536476535
2023-10-16,45.90118522969546
2023-10-17,39.57357781596023
2023-10-18,42.74334183413695
2023-10-19,49.08014105326451
2023-10-20,42.75109741993674
2023-10-21,55.42311601664008
2023-10-22,50.67715911790995
2023-10-23,50.68175502060613
2023-10-24,45.93450552424272
2023-10-25,42.77048638443622
2023-10-26,44.35859988760782
2023-10-27,49.115759299159855
2023-10-28,55.458303396657655
2023-10-29,77.64866223132424
2023-10-30,53.8835467356968
2023-10-31,52.303476062243504
2023-11-01,44.38272837676273
2023-11-02,42.801508727635394
2023-11-03,36.463847776752274
2023-11-04,36.467151081815146
2023-11-05,49.15582982579212
2023-11-06,52.33191321017608
2023-11-07,53.92261190861427
2023-11-08,53.92749505522896
2023-11-09,46.00114611333723
2023-11-10,47.59170118981618
2023-11-11,63.461346464791774
2023-11-12,52.36035035810865
2023-11-13,46.017806260610854
2023-11-14,49.195900352424374
2023-11-15,44.43902818479084
2023-11-16,44.44304959965
2023-11-17,46.03446640788448
2023-11-18,44.4510924293683
2023-11-19,44.455113844227455
2023-11-20,41.283482740580425
2023-11-21,38.11127714909637
2023-11-22,34.93849706977529
2023-11-23,38.118171003140624
2023-11-24,33.35641568889241
2023-11-25,39.713609226234254
2023-11-26,46.07195173925014
2023-11-27,36.543127098261266
2023-11-28,39.72438087317841
2023-11-29,39.7279714221598
2023-11-30,38.142299492295535
2023-12-01,36.55634031851276
2023-12-02,42.91784251463227
2023-12-03,41.332026962808754
2023-12-04,39.74592416706672
2023-12-05,36.56955353876426
2023-12-06,39.75310526502949
2023-12-07,39.756695814010875
2023-12-08,38.16987490847257
2023-12-09,41.354431988452596
2023-12-10,49.31165965158424
2023-12-11,41.361900330333874
2023-12-12,38.183662616561094
2023-12-13,36.595979979267256
2023-12-14,42.96437602943103
2023-12-15,39.78542020586195
2023-12-16,41.38057118503708
2023-12-17,39.79260130382473
2023-12-18,41.38803952691836
2023-12-19,35.023808513573
2023-12-20,38.21123803273814
2023-12-21,36.62240641977025
2023-12-22,39.3682145593013
2023-12-23,39.81414459771304
2023-12-24,36.45534862319578
2023-12-25,39.37886652127941
2023-12-26,36.46192331733058
2023-12-27,41.51015485825888
2023-12-28,41.51389700819726
2023-12-29,39.39306913725022
2023-12-30,45.682372611868196
2023-12-31,36.0356615083391
2024-01-01,41.086127168633595
2024-01-02,38.96449341891519
2024-01-03,42.333422720557685
2024-01-04,39.85723118548966
2024-01-05,42.7839486616656
2024-01-06,44.028028677501915
2024-01-07,44.474972048626164
2024-01-08,39.42857567717725
2024-01-09,36.50794617627421
2024-01-10,41.56254495739616
2024-01-11,37.75530556018019
2024-01-12,33.59283814180476
2024-01-13,47.867455351586564
2024-01-14,42.81863336482578
2024-01-15,39.8967272242849
2024-01-16,37.77230082535875
2024-01-17,40.701986488692626
2024-01-18,38.222515585554945
2024-01-19,42.83790264435921
2024-01-20,43.462651522008876
2024-01-21,42.5794885527181
2024-01-22,42.58331847163157
2024-01-23,42.587148390545046
2024-01-24,55.013346983050596
2024-01-25,47.03176741882742
2024-01-26,47.923467915696165
2024-01-27,47.927776574473825
2024-01-28,51.4826100653442
2024-01-29,44.385549900026994
2024-01-30,37.28721309507196
2024-01-31,39.954176007987066
2024-02-01,42.62161766076635
2024-02-02,39.96135710594984
2024-02-03,43.51738744648066
2024-02-04,43.52129715537151
2024-02-05,44.413476392104435
2024-02-06,46.194164526611544
2024-02-07,88.84291077968169
2024-02-08,41.75991819538651
2024-02-09,43.54084569982572
2024-02-10,59.540788007836916
2024-02-11,60.434882204026586
2024-02-12,40.886090653447326
2024-02-13,42.66757668772808
2024-02-14,45.33836951955665
2024-02-15,47.120573663633685
2024-02-16,37.34418313890995
2024-02-17,45.35057738609337
2024-02-18,65.80870301853884
2024-02-19,75.59785993964083
2024-02-20,40.91545336511732
2024-02-21,40.91912370407608
2024-02-22,35.585038298291146
2024-02-23,39.14705288712428
2024-02-24,48.048419020248375
2024-02-25,48.05272767902604
2024-02-26,38.26764004676961
2024-02-27,39.161095923140365
2024-02-28,37.384397287501464
2024-02-29,41.83867090304489
2024-03-01,34.72030681377147
2024-03-02,40.955827093663565
2024-03-03,38.28822586092955
2024-03-04,40.07266412437278
2024-03-05,33.84217061305463
2024-03-06,30.282549723542417
2024-03-07,40.08343577131694
2024-03-08,40.08702632029832
2024-03-09,58.7995714082769
2024-03-10,56.13189038556553
2024-03-11,44.55310885249165
2024-03-12,45.44824031838704
2024-03-13,40.99620082220981
2024-03-14,41.891172708150485
2024-03-15,36.54663481533086
2024-03-16,46.355978600705974
2024-03-17,42.793964011872845
2024-03-18,42.79779393078632
2024-03-19,38.34312136535606
2024-03-20,37.45477204753661
2024-03-21,36.566263149762435
2024-03-22,39.24535413923687
2024-03-23,37.46482558468449
2024-03-24,43.71287289102275
2024-03-25,39.255886416248934
2024-03-26,38.367138148542665
2024-03-27,41.93992438431996
2024-03-28,33.911907053270866
2024-03-29,42.83992303883458
2024-03-30,39.27344021126905
2024-03-31,45.52555680645287
2024-04-01,36.60224842955365
2024-04-02,38.39115493172926
2024-04-03,32.14430447505147
2024-04-04,35.71908546026286
2024-04-05,38.40144783880923
2024-04-06,39.29801552429719
2024-04-07,39.30152628330121
2024-04-08,35.73185185664112
2024-04-09,36.62841954212908
2024-04-10,35.738235054830255
2024-04-11,41.10264065201354
2024-04-12,35.74461825301938
2024-04-13,37.53520034471964
2024-04-14,38.43232656004915
2024-04-15,39.32961235533338
2024-04-16,51.84820774162658
2024-04-17,48.27677793546448
2024-04-18,46.49289820186281
2024-04-19,45.6028732945187
2024-04-20,55.44373412095264
2024-04-21,59.02601536403627
2024-04-22,42.03742773665891
2024-04-23,43.830164157748
2024-04-24,42.93950093058499
2024-04-25,41.15402539743604
2024-04-26,59.94707857257501
2024-04-27,54.583550665142724
2024-04-28,57.27309414165187
2024-04-29,48.32848184079643
2024-04-30,42.962480444065854
2024-05-01,42.07117889708393
2024-05-02,43.86535153776558
2024-05-03,41.18338810910603
2024-05-04,41.187058448064775
2024-05-05,51.93613629668184
2024-05-06,41.19439912598228
2024-05-07,47.46734090525814
2024-05-08,52.84570974848014
2024-05-09,46.58002885714442
2024-05-10,80.6264618122512
2024-05-11,68.09063179084734
2024-05-12,62.72064089524856
2024-05-13,49.28489200930747
2024-05-14,47.496942986860226
2024-05-15,46.60492333008203
2024-05-16,44.816415777793225
2024-05-17,40.33836474899529
2024-05-18,45.720882671040236
2024-05-19,46.621519645373766
2024-05-20,50.212258626057974
2024-05-21,61.87418131554527
2024-05-22,60.98287976856335
2024-05-23,46.638115960665495
2024-05-24,41.26046522723976
2024-05-25,50.23459981971993
2024-05-26,51.13619427378183
2024-05-27,52.037948307798445
2024-05-28,38.58328919722206
2024-05-29,50.25247277464949
2024-05-30,50.25694101338188
2024-05-31,39.49110726951835
2024-06-01,41.28982793890976
2024-06-02,49.372660984408
2024-06-03,40.399404081678846
2024-06-04,36.81161733015709
2024-06-05,35.91696460412587
2024-06-06,35.02215229813993
2024-06-07,37.719515192430755
2024-06-08,37.722866371480045
2024-06-09,40.42094737556715
2024-06-10,38.627891794568605
2024-06-11,40.428128473529924
2024-06-12,41.330201667456
2024-06-13,39.53674713657063
2024-06-14,30.553835646580417
2024-06-15,39.54376865457867
2024-06-16,35.952072194166085
2024-06-17,34.15750060359762
2024-06-18,26.968841544266414
2024-06-19,29.668358767946067
2024-06-20,30.570112801962694
2024-06-21,26.976022642229182
2024-06-22,46.762588325353526
2024-06-23,43.169296065393645
2024-06-24,34.178724737576474
2024-06-25,29.684157183464166
2024-06-26,40.48198670825071
2024-06-27,38.68621826802177
2024-06-28,43.18844565996104
2024-06-29,38.69308020607509
2024-06-30,44.09602436232524
2024-07-01,29.69995559898226
2024-07-02,30.602667112727254
2024-07-03,28.80506350301895
2024-07-04,36.00952097786825
2024-07-05,35.11239476253874
2024-07-06,39.61749459366312
2024-07-07,46.824824507697535
2024-07-08,35.12173018989034
2024-07-09,31.522294101673438
2024-07-10,33.326520279502965
2024-07-11,33.32947250866544
2024-07-12,36.035053770624764
2024-07-13,49.552587383364084
2024-07-14,45.95283213523773
2024-07-15,40.55020713889703
2024-07-16,34.245429158652875
2024-07-17,37.85356235440247
2024-07-18,34.25149319693255
2024-07-19,33.35309034196522
2024-07-20,38.76513055563488
2024-07-21,37.86696707059964
2024-07-22,34.26362127349189
2024-07-23,35.16840732664835
2024-07-24,32.46601766378359
2024-07-25,30.665062875025995
2024-07-26,37.88372296584611
2024-07-27,37.8870741448954
2024-07-28,46.0098021790757
2024-07-29,37.89377650299399
2024-07-30,37.89712768204328
2024-07-31,30.681340030408272
2024-08-01,35.19641360870316
2024-08-02,39.71228508677169
2024-08-03,41.52105929331098
2024-08-04,48.74642174222967
2024-08-05,29.792113022837814
2024-08-06,32.50335937319
2024-08-07,36.118035347083456
2024-08-08,36.12122694617801
2024-08-09,42.44619179069529
